SubjID,RunNum,TrialNum,ItemNum,ItemType,LangType,TrialOnset,RT,CorrectAnswer,Response,Accuracy
FED_20190320c_3T2,7,6,43,3,jap,86.6031,50.0013,2,4,0
FED_20190320c_3T2,7,7,79,5,sent,141.6621,29.3075,2,3,0
FED_20190320c_3T2,7,8,7,1,en,176.00099999999998,12.3872,3,3,1
FED_20190320c_3T2,2,2,74,5,jap,10.0558,27.0775,4,3,0
FED_20190320c_3T2,2,3,38,3,en,42.1774,15.122,2,2,1
FED_20190320c_3T2,2,4,2,1,sent,62.3641,43.3805,2,4,0
FED_20190320c_3T2,2,6,20,2,sent,120.8237,21.2871,3,3,1
FED_20190320c_3T2,2,7,56,4,en,147.1612,7.8285,2,2,1
FED_20190320c_3T2,2,8,92,6,jap,160.0468,26.9568,2,3,0
FED_20190320c_3T2,3,2,57,4,sent,10.0643,6.1657,1,1,1
FED_20190320c_3T2,3,3,21,2,jap,21.2828,12.2038,3,4,0
FED_20190320c_3T2,3,4,93,6,en,38.5356,16.7672,3,3,1
FED_20190320c_3T2,3,6,75,5,en,70.3741,17.1062,2,2,1
FED_20190320c_3T2,3,7,3,1,jap,92.5444,35.8011,2,2,1
FED_20190320c_3T2,3,8,39,3,sent,133.4011,16.1446,1,1,1
FED_20190320c_3T2,8,2,80,5,jap,10.0521,30.5118,3,3,1
FED_20190320c_3T2,8,3,44,3,en,45.6248,14.8831,1,1,1
FED_20190320c_3T2,8,4,8,1,sent,65.5611,14.6834,2,2,1
FED_20190320c_3T2,8,6,26,2,sent,95.316,16.8066,3,3,1
FED_20190320c_3T2,8,7,62,4,en,117.1862,18.3534,4,4,1
FED_20190320c_3T2,8,8,98,6,jap,140.5899,15.9515,1,1,1
FED_20190320c_3T2,9,2,63,4,sent,10.0428,12.9506,4,4,1
FED_20190320c_3T2,9,3,27,2,jap,28.0458,20.8425,1,1,1
FED_20190320c_3T2,9,4,99,6,en,53.9502,19.4779,1,1,1
FED_20190320c_3T2,9,6,81,5,en,88.5223,50.0006,2,2,1
FED_20190320c_3T2,9,7,9,1,jap,143.5811,24.4483,2,2,1
